nesterukia@nesterukia-VirtualBox:~$ ps -eF
UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
   1854 /usr/libexec/evolution-data    1564  0
   1862 /usr/libexec/ibus-portal       1438  0
   1891 /usr/libexec/gsd-printer       1438  0
   1923 /snap/snap-store/599/usr/bi    1438  0
   1946 /usr/libexec/ibus-engine-si    1769  0
   2019 /usr/libexec/xdg-desktop-po    1438  0
   2028 /usr/bin/gjs /usr/share/gno    1438  0
   2096 /usr/libexec/gvfsd-metadata    1438  0
   2643 update-notifier                1564  0
   3894 /usr/bin/Xwayland :0 -rootl    1606  0
   3897 /usr/libexec/gsd-xsettings     1438  0
   3925 /usr/libexec/ibus-x11          1438  0
   4395 /usr/libexec/gvfsd-network     1461  0
   4414 /usr/libexec/gvfsd-dnssd --    1461  0
   7698 /usr/bin/snap userd            1438  0
  15122 /usr/lib/snapd/snapd              1  0
  15654 /snap/snapd-desktop-integra    1438  0
  16345 /usr/bin/nautilus --gapplic    1438  0
  16378 /usr/libexec/gvfsd-recent -    1461  0
  16562 sshd: /usr/sbin/sshd -D [li       1  0
  21301 [kworker/0:2-events]              2  0
  22232 /snap/telegram-desktop/4353    1606  1
  24506 [kworker/u2:2-events_unboun       2  0
  24797 [kworker/0:0-events]              2  0
  24812 [kworker/u2:0-flush-8:0]          2  0
  24853 [kworker/0:1-events]              2  0
  24875 [kworker/u2:1-events_unboun       2  0
  24898 gjs /usr/share/gnome-shell/    1606  0
  24942 /usr/libexec/gnome-terminal    1438  0
  24960 bash                          24942  0
  24967 [kworker/u2:3-flush-8:0]          2  0
  24974 ps -e --format=pid cmd ppid   24960  0

----Проанализируем процессы:----------------
1606 /usr/bin/gnome-shell           1438  1
22232 /snap/telegram-desktop/4353    1606  1
--------------------------------------------

nesterukia@nesterukia-VirtualBox:~$ pstree -sp 1606
systemd(1)───systemd(1438)───gnome-shell(1606)─┬─Xwayland(3894)
                                               ├─gjs(24898)─┬─{gjs}(24900)
